JobIDRaw|JobName|State|ExitCode|ElapsedRaw|ReqTRES|AllocTRES|NodeList|Start|End
3171691|biosfm-w3d-af2|COMPLETED|0:0|399|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T09:59:07|2026-08-03T10:05:46
3171692|biosfm-w3d-boltz|COMPLETED|0:0|853|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-03T10:08:28|2026-08-03T10:22:41
3171693|biosfm-w3d-af2|FAILED|1:0|56|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T09:59:07|2026-08-03T10:00:03
3171694|biosfm-w3d-af2|COMPLETED|0:0|319|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T09:59:07|2026-08-03T10:04:26
3171695|biosfm-w3d-boltz|COMPLETED|0:0|850|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-03T10:08:31|2026-08-03T10:22:41
3171696|biosfm-w3d-af2|FAILED|1:0|56|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T09:59:07|2026-08-03T10:00:03
3171697|biosfm-w3d-af2|COMPLETED|0:0|192|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T10:00:05|2026-08-03T10:03:17
3171698|biosfm-w3d-boltz|COMPLETED|0:0|758|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-03T10:10:03|2026-08-03T10:22:41
3171699|biosfm-w3d-af2|FAILED|1:0|25|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T10:00:05|2026-08-03T10:00:30
3171700|biosfm-w3d-af2|COMPLETED|0:0|177|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T10:00:32|2026-08-03T10:03:29
3171701|biosfm-w3d-boltz|COMPLETED|0:0|713|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-03T10:10:48|2026-08-03T10:22:41
3171702|biosfm-w3d-af2|FAILED|1:0|28|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T10:03:18|2026-08-03T10:03:46
3171703|biosfm-w3d-af2|COMPLETED|0:0|296|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T10:03:30|2026-08-03T10:08:26
3171704|biosfm-w3d-boltz|COMPLETED|0:0|142|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-03T10:22:42|2026-08-03T10:25:04
3171705|biosfm-w3d-af2|FAILED|1:0|23|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-03T10:03:47|2026-08-03T10:04:10
